GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",22072,31960,31493,32052,36267,39934,58792,48509,33190,32191,37804,38249,35872,37732,44858,46903
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",1668,2358,2339,3253,3685,4154,5290,6792,5906,7172,10724,279,210,533,180,237
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",16164,16532,16908,12628,14416,15499,16217,15236,11122,13405,13273,15398,18639,46683,21572,25798
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",302777,374830,322210,301086,257350,354219,392472,303770,231027,222444,154577,140591,157701,111199,185205,97825
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",216361,237439,241058,280260,370591,358189,375024,414990,334538,408218,480863,592136,680294,302672,296877,338772
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",815651,842366,885911,1051348,1255907,1420308,1499133,1422220,1374441,1332968,1465203,1293629,1172501,1517134,1563955,1639437
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",282653,294250,299833,317624,342695,368714,394067,402946,395663,374643,384140,744100,723479,432188,462420,473052
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",2004487,2161789,2223546,2337720,2389066,2417970,2722485,2528232,2485713,2586942,2602990,2642940,2716095,2749255,2821390,2911066
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",239457,270254,288871,298000,308281,328999,345309,359075,361834,376431,414999,383266,384656,414526,437421,460720
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",19864,20348,20561,25414,23015,20696,17340,17838,22375,29289,26972,26469,23487,27786,25833,27797
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",15238,20870,22700,20797,24192,40165,35322,36179,29031,18726,19122,21770,22270,24415,24334,27502
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",487,532,549,651,624,716,746,1259,1320,1098,2227,1851,1743,2242,1609,1538
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",9896,12865,13678,11769,13939,13160,17256,21150,28463,11014,25408,8235,7903,7910,7245,7486
